1,5210
1.5,2356
2,1285
2.484,800.6
2.484,1397
2.53429,1726
2.5856,1944
2.5856,2458
3,1965
3.0664,1857
3.0664,2146
3.3013,1796
3.5542,1496
3.5542,1585
3.69948,1442
3.8507,1311
3.8507,1368
4,1251
5,730.4
6,467.2
8,228.7
10,130.6
13.0352,67.01
13.0352,162.1
15,111.6
15.2,107.8
15.2,148.5
15.5269,141.6
15.8608,134.4
15.8608,154.8
20,86.36
30,30.32
40,14.36
50,8.041
60,5.021
80,2.419
88.0045,1.91
88.0045,7.683
100,5.549
150,2.014
200,0.9985
300,0.4031
400,0.2323
500,0.1614
600,0.1248
800,0.0887
1000,0.07102
1250,0.05876
1500,0.05222
2000,0.04606
3000,0.04234
