1,3683
1.5,1643
1.8092,1327
1.84014,1911
1.8716,2901
1.8716,3170
2,3922
2.281,2828
2.281,3279
2.4235,2833
2.5749,2445
2.5749,2599
2.69447,2339
2.8196,2104
2.8196,2194
3,1902
4,956.4
5,553.4
6,351.4
8,170.5
10,96.91
10.2068,92.01
10.2068,233.4
10.8548,198.3
11.544,168.9
11.544,231.2
11.8186,226.8
12.0998,206.5
12.0998,238.2
15,138.9
20,65.73
30,22.73
40,10.67
50,5.949
60,3.713
69.525,2.552
69.525,11.23
80,7.81
100,4.438
150,1.581
200,0.7844
300,0.3238
400,0.1925
500,0.1378
600,0.1093
800,0.08066
1000,0.06618
1250,0.05577
1500,0.05
2000,0.04433
3000,0.04075
